"area","provincia","num_cap","volumen_capacitados","total_horas","carga_horaria","anio","total_cursos","prediction(total_cursos)"
"procesos industriales","guayas",356.0,472.0,14240.0,40.0,2021.0,4.0,3.6666666666666665
"artes y artesanía","cañar",59.0,76.0,2360.0,40.0,2021.0,2.0,2.0
"procesos industriales","santa elena",4.0,4.0,160.0,40.0,2021.0,1.0,1.0
"procesos industriales","pichincha",88.0,88.0,704.0,8.0,2021.0,1.0,1.0
"educación y capacitación","guayas",274.0,295.0,10960.0,40.0,2021.0,2.0,1.0
"finanzas comercio y ventas","santo domingo de los tsachilas",6.0,6.0,240.0,40.0,2021.0,1.0,1.0
"administración y legislación","guayas",5.0,5.0,160.0,32.0,2021.0,1.0,1.0
"forestal ecología y medio ambiente","pichincha",13.0,21.0,208.0,16.0,2021.0,2.0,1.5
"educación y capacitación","pichincha",218.0,274.0,6976.0,32.0,2021.0,2.0,4.0
"administración y legislación","pichincha",5.0,5.0,200.0,40.0,2021.0,1.0,1.0
"transporte y logística","pichincha",37.0,49.0,888.0,24.0,2021.0,2.0,1.9285714285714286
"administración y legislación","imbabura",9.0,55.0,360.0,40.0,2021.0,2.0,2.5
"educación y capacitación","azuay",34.0,112.0,1360.0,40.0,2021.0,2.0,3.0
"tecnologías de la información y comunicación","azuay",78.0,112.0,3120.0,40.0,2021.0,2.0,3.75
"procesos industriales","pichincha",40.0,238.0,320.0,8.0,2021.0,5.0,3.75
"procesos industriales","pichincha",9.0,238.0,144.0,16.0,2021.0,5.0,3.75
"procesos industriales","pichincha",11.0,238.0,440.0,40.0,2021.0,5.0,3.75
"procesos industriales","pichincha",138.0,238.0,5520.0,40.0,2021.0,5.0,1.5
"construcción e infraestructura","cañar",5.0,5.0,200.0,40.0,2021.0,1.0,1.0
"forestal ecología y medio ambiente","loja",45.0,304.0,1080.0,24.0,2021.0,4.0,3.75
"procesos industriales","sin provincia",41.0,172.0,328.0,8.0,2021.0,7.0,6.8
"procesos industriales","sin provincia",21.0,172.0,168.0,8.0,2021.0,7.0,6.8
"forestal ecología y medio ambiente","guayas",6.0,228.0,96.0,16.0,2021.0,3.0,3.75
"procesos industriales","guayas",219.0,228.0,1752.0,8.0,2021.0,3.0,2.857142857142857
"procesos industriales","el oro",3.0,3.0,120.0,40.0,2021.0,1.0,1.0
"forestal ecología y medio ambiente","pastaza",8.0,8.0,320.0,40.0,2021.0,1.0,1.0
"alimentación gastronomía y turismo","tungurahua",40.0,110.0,1600.0,40.0,2021.0,3.0,3.0
"alimentación gastronomía y turismo","tungurahua",46.0,110.0,1840.0,40.0,2021.0,3.0,3.0
"administración y legislación","santo domingo de los tsachilas",1.0,62.0,24.0,24.0,2021.0,6.0,2.5
"administración y legislación","santo domingo de los tsachilas",1.0,62.0,40.0,40.0,2021.0,6.0,2.5
"administración y legislación","santo domingo de los tsachilas",1.0,62.0,40.0,40.0,2021.0,6.0,2.5
"administración y legislación","santo domingo de los tsachilas",18.0,62.0,576.0,32.0,2021.0,6.0,5.0
"educación y capacitación","santo domingo de los tsachilas",20.0,62.0,800.0,40.0,2021.0,6.0,5.333333333333333
"procesos industriales","pichincha",343.0,1046.0,13720.0,40.0,2021.0,4.0,3.9
"procesos industriales","guayas",24.0,28.0,384.0,16.0,2021.0,2.0,1.0
"procesos industriales","guayas",4.0,28.0,160.0,40.0,2021.0,2.0,2.1818181818181817
"servicios socioculturales y a la comunidad","pichincha",1.0,1.0,24.0,24.0,2021.0,1.0,1.0
"administración y legislación","pichincha",1.0,1.0,8.0,8.0,2021.0,1.0,1.0
"procesos industriales","pichincha",34.0,39.0,816.0,24.0,2021.0,2.0,2.0
"tecnologías de la información y comunicación","guayas",2.0,7.0,48.0,24.0,2021.0,2.0,2.5
"procesos industriales","chimborazo",33.0,45.0,528.0,16.0,2021.0,2.0,2.0
"artes y artesanía","pichincha",1.0,1.0,40.0,40.0,2021.0,1.0,1.0
"tecnologías de la información y comunicación","sucumbios",73.0,73.0,2920.0,40.0,2021.0,1.0,1.5
"procesos industriales","guayas",10.0,10.0,80.0,8.0,2021.0,1.0,1.0
"forestal ecología y medio ambiente","pastaza",1.0,1.0,24.0,24.0,2021.0,1.0,1.0
"alimentación gastronomía y turismo","guayas",1.0,4.0,40.0,40.0,2021.0,3.0,2.111111111111111
"alimentación gastronomía y turismo","guayas",1.0,4.0,40.0,40.0,2021.0,3.0,2.111111111111111
"educación y capacitación","cotopaxi",185.0,312.0,7400.0,40.0,2021.0,2.0,1.5
"procesos industriales","pichincha",3.0,3.0,48.0,16.0,2021.0,1.0,1.0
"procesos industriales","azuay",16.0,77.0,640.0,40.0,2021.0,4.0,2.888888888888889
"forestal ecología y medio ambiente","azuay",4.0,77.0,96.0,24.0,2021.0,4.0,2.888888888888889
"finanzas comercio y ventas","pichincha",301.0,872.0,12040.0,40.0,2021.0,4.0,3.6666666666666665
"administración y legislación","cotopaxi",6.0,64.0,240.0,40.0,2021.0,3.0,2.8333333333333335
"administración y legislación","cotopaxi",47.0,64.0,752.0,16.0,2021.0,3.0,1.9285714285714286
"finanzas comercio y ventas","imbabura",18.0,44.0,144.0,8.0,2021.0,2.0,2.5
"educación y capacitación","pichincha",9.0,12.0,216.0,24.0,2021.0,2.0,1.0
"educación y capacitación","guayas",1.0,15.0,32.0,32.0,2021.0,2.0,2.0
"servicios socioculturales y a la comunidad","pichincha",13.0,13.0,312.0,24.0,2021.0,1.0,1.0
"alimentación gastronomía y turismo","el oro",28.0,28.0,1120.0,40.0,2021.0,1.0,1.3011363636363635
"finanzas comercio y ventas","guayas",16.0,16.0,128.0,8.0,2021.0,1.0,1.5
"alimentación gastronomía y turismo","manabi",7.0,84.0,280.0,40.0,2021.0,2.0,2.888888888888889
"procesos industriales","santa elena",16.0,16.0,256.0,16.0,2021.0,1.0,1.0
"procesos industriales","pichincha",32.0,34.0,1280.0,40.0,2021.0,2.0,1.0
"procesos industriales","guayas",180.0,211.0,1440.0,8.0,2021.0,2.0,2.857142857142857
"procesos industriales","guayas",31.0,211.0,1240.0,40.0,2021.0,2.0,4.5
"administración y legislación","guayas",572.0,582.0,13728.0,24.0,2021.0,2.0,1.5
"educación y capacitación","guayas",7.0,96.0,280.0,40.0,2021.0,3.0,5.0
"educación y capacitación","guayas",37.0,96.0,1184.0,32.0,2021.0,3.0,2.142857142857143
"educación y capacitación","imbabura",18.0,556.0,576.0,32.0,2021.0,4.0,3.5
"educación y capacitación","imbabura",8.0,556.0,320.0,40.0,2021.0,4.0,2.25
"educación y capacitación","pichincha",23.0,85.0,552.0,24.0,2021.0,2.0,2.888888888888889
"educación y capacitación","guayas",7.0,7.0,224.0,32.0,2021.0,1.0,1.0
"administración y legislación","cañar",7.0,7.0,224.0,32.0,2021.0,1.0,1.0
"comunicación y artes gráficas","pichincha",92.0,92.0,3680.0,40.0,2021.0,1.0,1.3333333333333333
"educación y capacitación","azuay",102.0,102.0,4080.0,40.0,2021.0,1.0,1.3333333333333333
"administración y legislación","pichincha",60.0,68.0,960.0,16.0,2021.0,2.0,1.0
"procesos industriales","cotopaxi",14.0,15.0,336.0,24.0,2021.0,2.0,1.0
"procesos industriales","cotopaxi",1.0,15.0,16.0,16.0,2021.0,2.0,2.5
"administración y legislación","guayas",50.0,1066.0,800.0,16.0,2021.0,5.0,5.166666666666667
"finanzas comercio y ventas","pichincha",17.0,17.0,408.0,24.0,2021.0,1.0,1.5
"procesos industriales","pichincha",8.0,12.0,320.0,40.0,2021.0,2.0,2.1818181818181817
"procesos industriales","cotopaxi",205.0,206.0,8200.0,40.0,2021.0,2.0,3.5
"administración y legislación","cotopaxi",1.0,206.0,40.0,40.0,2021.0,2.0,2.0
"procesos industriales","azuay",1.0,21.0,40.0,40.0,2021.0,3.0,2.0
"tecnologías de la información y comunicación","azuay",3.0,21.0,120.0,40.0,2021.0,3.0,2.1818181818181817
"educación y capacitación","pichincha",66.0,355.0,2640.0,40.0,2021.0,3.0,2.857142857142857
"servicios socioculturales y a la comunidad","pichincha",282.0,355.0,11280.0,40.0,2021.0,3.0,2.0
"administración y legislación","pichincha",12.0,36.0,480.0,40.0,2021.0,3.0,2.5
"forestal ecología y medio ambiente","manabi",19.0,19.0,304.0,16.0,2021.0,1.0,1.5
"administración y legislación","guayas",161.0,263.0,5152.0,32.0,2021.0,3.0,1.5
"procesos industriales","guayas",100.0,263.0,1600.0,16.0,2021.0,3.0,2.857142857142857
"educación y capacitación","pichincha",23.0,23.0,920.0,40.0,2021.0,1.0,1.0
"educación y capacitación","tungurahua",8.0,8.0,320.0,40.0,2021.0,1.0,1.0
"educación y capacitación","cotopaxi",16.0,16.0,640.0,40.0,2021.0,1.0,1.0
"administración y legislación","tungurahua",99.0,99.0,1584.0,16.0,2021.0,1.0,1.3333333333333333
"procesos industriales","tungurahua",106.0,106.0,4240.0,40.0,2021.0,1.0,1.3333333333333333
"procesos industriales","santo domingo de los tsachilas",40.0,47.0,1600.0,40.0,2021.0,2.0,1.0
"tecnologías de la información y comunicación","sin provincia",1.0,1.0,40.0,40.0,2021.0,1.0,1.0
"administración y legislación","pichincha",15.0,507.0,240.0,16.0,2021.0,4.0,4.0
"administración y legislación","pichincha",23.0,24.0,368.0,16.0,2021.0,2.0,1.0
"servicios socioculturales y a la comunidad","pichincha",33.0,86.0,1320.0,40.0,2021.0,3.0,3.3333333333333335
"alimentación gastronomía y turismo","loja",3.0,11.0,120.0,40.0,2021.0,2.0,2.1818181818181817
"procesos industriales","tungurahua",4.0,4.0,160.0,40.0,2021.0,1.0,1.0
"administración y legislación","loja",13.0,13.0,520.0,40.0,2021.0,1.0,1.0
"transporte y logística","pichincha",124.0,124.0,4960.0,40.0,2021.0,1.0,1.0
"servicios socioculturales y a la comunidad","pichincha",24.0,24.0,960.0,40.0,2021.0,1.0,1.0
"administración y legislación","pichincha",3.0,3.0,96.0,32.0,2021.0,1.0,1.0
"procesos industriales","pichincha",2.0,2.0,32.0,16.0,2021.0,1.0,1.0
"administración y legislación","pichincha",26.0,37.0,416.0,16.0,2021.0,2.0,2.0
"procesos industriales","guayas",7.0,9.0,56.0,8.0,2021.0,2.0,1.0
"finanzas comercio y ventas","manabi",6.0,13.0,144.0,24.0,2021.0,2.0,2.0
"finanzas comercio y ventas","manabi",7.0,13.0,224.0,32.0,2021.0,2.0,2.0
"administración y legislación","pichincha",331.0,883.0,13240.0,40.0,2021.0,4.0,3.9
"administración y legislación","pichincha",471.0,883.0,7536.0,16.0,2021.0,4.0,3.9
"forestal ecología y medio ambiente","tungurahua",37.0,49.0,592.0,16.0,2021.0,2.0,1.9285714285714286
"educación y capacitación","guayas",1.0,1.0,40.0,40.0,2021.0,1.0,1.0
"finanzas comercio y ventas","sin provincia",11.0,42.0,440.0,40.0,2021.0,3.0,2.5
"finanzas comercio y ventas","loja",25.0,124.0,1000.0,40.0,2021.0,3.0,3.0
"procesos industriales","imbabura",5.0,59.0,160.0,32.0,2021.0,2.0,2.5
"procesos industriales","imbabura",54.0,59.0,864.0,16.0,2021.0,2.0,1.9285714285714286
"procesos industriales","guayas",74.0,257.0,592.0,8.0,2021.0,3.0,9.0
"administración y legislación","pichincha",12.0,12.0,384.0,32.0,2021.0,1.0,1.0
"tecnologías de la información y comunicación","pichincha",6.0,6.0,96.0,16.0,2021.0,1.0,1.0
"educación y capacitación","sin provincia",5.0,15.0,200.0,40.0,2021.0,2.0,2.1818181818181817
"servicios socioculturales y a la comunidad","los rios",54.0,258.0,2160.0,40.0,2021.0,10.0,2.857142857142857
"procesos industriales","los rios",48.0,258.0,384.0,8.0,2021.0,10.0,10.0
"procesos industriales","los rios",64.0,258.0,512.0,8.0,2021.0,10.0,10.0
"procesos industriales","los rios",8.0,258.0,320.0,40.0,2021.0,10.0,10.0
"procesos industriales","los rios",11.0,258.0,176.0,16.0,2021.0,10.0,10.0
"procesos industriales","guayas",2.0,6.0,16.0,8.0,2021.0,2.0,2.5
"procesos industriales","guayas",4.0,6.0,64.0,16.0,2021.0,2.0,2.1818181818181817
"educación y capacitación","guayas",8.0,17.0,192.0,24.0,2021.0,3.0,3.0
"forestal ecología y medio ambiente","sin provincia",11.0,54.0,440.0,40.0,2021.0,2.0,5.0
"procesos industriales","azuay",47.0,94.0,752.0,16.0,2021.0,2.0,3.75
"procesos industriales","guayas",26.0,110.0,416.0,16.0,2021.0,2.0,3.0
"servicios socioculturales y a la comunidad","guayas",29.0,270.0,1160.0,40.0,2021.0,2.0,6.0
"transporte y logística","pichincha",7.0,36.0,112.0,16.0,2021.0,3.0,2.3892195767195767
"finanzas comercio y ventas","cotopaxi",1.0,58.0,40.0,40.0,2021.0,3.0,2.5
"electricidad y electrónica","cotopaxi",6.0,36.0,144.0,24.0,2021.0,2.0,2.3892195767195767
"electricidad y electrónica","cotopaxi",30.0,36.0,960.0,32.0,2021.0,2.0,2.3892195767195767
"procesos industriales","guayas",9.0,9.0,72.0,8.0,2021.0,1.0,1.0
"tecnologías de la información y comunicación","azuay",84.0,94.0,672.0,8.0,2021.0,2.0,2.0
"transporte y logística","azuay",10.0,94.0,400.0,40.0,2021.0,2.0,5.0
"tecnologías de la información y comunicación","imbabura",56.0,81.0,1344.0,24.0,2021.0,2.0,3.3333333333333335
"procesos industriales","pichincha",26.0,26.0,624.0,24.0,2021.0,1.0,1.0
"servicios socioculturales y a la comunidad","guayas",1.0,373.0,16.0,16.0,2021.0,3.0,3.0
"servicios socioculturales y a la comunidad","guayas",10.0,373.0,80.0,8.0,2021.0,3.0,4.0
"administración y legislación","pichincha",17.0,17.0,544.0,32.0,2021.0,1.0,1.0
"procesos industriales","guayas",9.0,30.0,360.0,40.0,2021.0,3.0,2.857142857142857
"procesos industriales","santo domingo de los tsachilas",15.0,15.0,600.0,40.0,2021.0,1.0,1.0
"finanzas comercio y ventas","guayas",1.0,95.0,24.0,24.0,2021.0,5.0,5.0
"servicios socioculturales y a la comunidad","pichincha",21.0,21.0,840.0,40.0,2021.0,1.0,1.0
"servicios socioculturales y a la comunidad","guayas",9.0,234.0,360.0,40.0,2021.0,4.0,3.75
"educación y capacitación","guayas",65.0,174.0,2600.0,40.0,2021.0,3.0,2.857142857142857
"finanzas comercio y ventas","guayas",7.0,16.0,224.0,32.0,2021.0,3.0,2.8333333333333335
"administración y legislación","pichincha",5.0,10.0,40.0,8.0,2021.0,2.0,2.0
"tecnologías de la información y comunicación","guayas",2.0,2.0,80.0,40.0,2021.0,1.0,1.0
"servicios socioculturales y a la comunidad","sin provincia",74.0,74.0,2960.0,40.0,2021.0,1.0,1.5
"servicios socioculturales y a la comunidad","pichincha",22.0,53.0,176.0,8.0,2021.0,2.0,5.333333333333333
"electricidad y electrónica","guayas",4.0,4.0,160.0,40.0,2021.0,1.0,1.0
"forestal ecología y medio ambiente","pichincha",18.0,115.0,288.0,16.0,2021.0,4.0,4.0
"forestal ecología y medio ambiente","pichincha",10.0,115.0,160.0,16.0,2021.0,4.0,3.0
"procesos industriales","guayas",309.0,673.0,12360.0,40.0,2021.0,4.0,3.6666666666666665
"procesos industriales","guayas",21.0,673.0,840.0,40.0,2021.0,4.0,3.3333333333333335
"educación y capacitación","el oro",207.0,208.0,8280.0,40.0,2021.0,2.0,3.5
"procesos industriales","pichincha",16.0,35.0,640.0,40.0,2021.0,3.0,2.857142857142857
"alimentación gastronomía y turismo","manabi",43.0,289.0,1720.0,40.0,2021.0,3.0,2.857142857142857
"alimentación gastronomía y turismo","manabi",48.0,289.0,1152.0,24.0,2021.0,3.0,3.75
"servicios socioculturales y a la comunidad","pichincha",29.0,184.0,1160.0,40.0,2021.0,6.0,6.8
"servicios socioculturales y a la comunidad","pichincha",34.0,184.0,1360.0,40.0,2021.0,6.0,2.857142857142857
"administración y legislación","pichincha",11.0,11.0,88.0,8.0,2021.0,1.0,1.25
"procesos industriales","pichincha",1.0,3.0,40.0,40.0,2021.0,2.0,2.111111111111111
"alimentación gastronomía y turismo","tungurahua",5.0,6.0,200.0,40.0,2021.0,2.0,2.1818181818181817
"procesos industriales","guayas",3.0,93.0,120.0,40.0,2021.0,4.0,5.0
"procesos industriales","guayas",16.0,93.0,256.0,16.0,2021.0,4.0,5.0
"procesos industriales","guayas",33.0,93.0,1320.0,40.0,2021.0,4.0,3.0
"servicios socioculturales y a la comunidad","chimborazo",1.0,13.0,40.0,40.0,2021.0,2.0,2.0
"finanzas comercio y ventas","pichincha",3.0,6.0,72.0,24.0,2021.0,2.0,2.1818181818181817
"mecánica automotriz","azuay",2.0,16.0,80.0,40.0,2021.0,2.0,2.0
"mecánica automotriz","azuay",14.0,16.0,448.0,32.0,2021.0,2.0,1.3011363636363635
"servicios socioculturales y a la comunidad","azuay",1.0,72.0,24.0,24.0,2021.0,3.0,2.0
"servicios socioculturales y a la comunidad","azuay",70.0,72.0,2800.0,40.0,2021.0,3.0,2.0
"educación y capacitación","azuay",1.0,72.0,32.0,32.0,2021.0,3.0,2.0
"procesos industriales","pichincha",58.0,126.0,2320.0,40.0,2021.0,3.0,3.0
"educación y capacitación","pichincha",49.0,49.0,1960.0,40.0,2021.0,1.0,1.9285714285714286
"alimentación gastronomía y turismo","pichincha",3.0,65.0,120.0,40.0,2021.0,3.0,2.8333333333333335
"alimentación gastronomía y turismo","pichincha",58.0,65.0,2320.0,40.0,2021.0,3.0,1.0
"tecnologías de la información y comunicación","loja",2.0,2.0,48.0,24.0,2021.0,1.0,1.0
"procesos industriales","pichincha",1.0,231.0,8.0,8.0,2021.0,4.0,2.0
"procesos industriales","el oro",4.0,67.0,64.0,16.0,2021.0,2.0,2.8333333333333335
"procesos industriales","el oro",63.0,67.0,2520.0,40.0,2021.0,2.0,1.0
"electricidad y electrónica","cañar",62.0,160.0,1984.0,32.0,2021.0,5.0,2.857142857142857
"electricidad y electrónica","cañar",2.0,160.0,80.0,40.0,2021.0,5.0,3.75
"procesos industriales","cañar",38.0,160.0,1520.0,40.0,2021.0,5.0,2.857142857142857
"administración y legislación","santa elena",26.0,56.0,832.0,32.0,2021.0,3.0,5.333333333333333
"administración y legislación","santa elena",27.0,56.0,1080.0,40.0,2021.0,3.0,5.333333333333333
"procesos industriales","sucumbios",28.0,28.0,448.0,16.0,2021.0,1.0,1.0
"educación y capacitación","pichincha",4.0,4.0,160.0,40.0,2021.0,1.0,1.0
"servicios socioculturales y a la comunidad","pichincha",99.0,99.0,3960.0,40.0,2021.0,1.0,1.3333333333333333
"tecnologías de la información y comunicación","pichincha",7.0,171.0,280.0,40.0,2021.0,3.0,3.75
"administración y legislación","pichincha",151.0,171.0,3624.0,24.0,2021.0,3.0,3.0
"procesos industriales","pichincha",13.0,171.0,312.0,24.0,2021.0,3.0,3.75
"procesos industriales","guayas",15.0,15.0,360.0,24.0,2021.0,1.0,1.0
"administración y legislación","pichincha",63.0,74.0,2520.0,40.0,2021.0,2.0,2.0
"procesos industriales","guayas",21.0,21.0,504.0,24.0,2021.0,1.0,1.0
"administración y legislación","sin provincia",14.0,21.0,336.0,24.0,2021.0,2.0,1.0
"servicios socioculturales y a la comunidad","chimborazo",18.0,21.0,720.0,40.0,2021.0,2.0,1.0
"servicios socioculturales y a la comunidad","chimborazo",3.0,21.0,24.0,8.0,2021.0,2.0,2.8333333333333335
"procesos industriales","santo domingo de los tsachilas",153.0,299.0,1224.0,8.0,2021.0,3.0,3.75
"procesos industriales","el oro",17.0,17.0,680.0,40.0,2021.0,1.0,1.5
"tecnologías de la información y comunicación","pichincha",42.0,42.0,1680.0,40.0,2021.0,1.0,1.0
"transporte y logística","pichincha",259.0,674.0,10360.0,40.0,2021.0,5.0,3.6666666666666665
"procesos industriales","pichincha",173.0,674.0,2768.0,16.0,2021.0,5.0,3.6666666666666665
"servicios socioculturales y a la comunidad","pichincha",189.0,674.0,7560.0,40.0,2021.0,5.0,3.6666666666666665
"procesos industriales","pichincha",1.0,674.0,16.0,16.0,2021.0,5.0,3.0
"electricidad y electrónica","pichincha",92.0,125.0,3680.0,40.0,2021.0,2.0,1.3333333333333333
"educación y capacitación","los rios",1.0,1.0,32.0,32.0,2021.0,1.0,1.0
"transporte y logística","sin provincia",5.0,5.0,80.0,16.0,2021.0,1.0,1.0
"transporte y logística","pichincha",94.0,94.0,2256.0,24.0,2021.0,1.0,1.3333333333333333
"servicios socioculturales y a la comunidad","chimborazo",15.0,15.0,600.0,40.0,2021.0,1.0,1.0
"administración y legislación","pichincha",35.0,426.0,560.0,16.0,2021.0,6.0,6.0
"finanzas comercio y ventas","pichincha",152.0,426.0,3648.0,24.0,2021.0,6.0,5.5
"administración y legislación","pichincha",74.0,426.0,592.0,8.0,2021.0,6.0,3.75
"finanzas comercio y ventas","pichincha",12.0,426.0,288.0,24.0,2021.0,6.0,4.0
"educación y capacitación","pichincha",4.0,4.0,128.0,32.0,2021.0,1.0,1.0
"procesos industriales","pichincha",35.0,35.0,1400.0,40.0,2021.0,1.0,1.0
"administración y legislación","pichincha",2.0,2.0,48.0,24.0,2021.0,1.0,1.0
"procesos industriales","guayas",2.0,50.0,32.0,16.0,2021.0,5.0,4.5
"procesos industriales","guayas",8.0,50.0,320.0,40.0,2021.0,5.0,2.5
"tecnologías de la información y comunicación","azuay",121.0,239.0,4840.0,40.0,2021.0,3.0,1.5
"alimentación gastronomía y turismo","pichincha",307.0,307.0,12280.0,40.0,2021.0,1.0,1.0
"servicios socioculturales y a la comunidad","pichincha",50.0,50.0,400.0,8.0,2021.0,1.0,1.9285714285714286
"administración y legislación","pichincha",1.0,1.0,24.0,24.0,2021.0,1.0,1.0
"procesos industriales","pichincha",238.0,240.0,9520.0,40.0,2021.0,2.0,1.0
"finanzas comercio y ventas","pichincha",10.0,20.0,400.0,40.0,2021.0,2.0,1.5
"servicios socioculturales y a la comunidad","pichincha",4.0,94.0,64.0,16.0,2021.0,2.0,5.0
"servicios socioculturales y a la comunidad","pichincha",90.0,94.0,3600.0,40.0,2021.0,2.0,1.3333333333333333
"administración y legislación","pichincha",7.0,7.0,280.0,40.0,2021.0,1.0,1.0
"educación y capacitación","pichincha",319.0,328.0,12760.0,40.0,2021.0,2.0,2.0
"educación y capacitación","chimborazo",12.0,13.0,480.0,40.0,2021.0,2.0,1.0
"educación y capacitación","azuay",167.0,167.0,6680.0,40.0,2021.0,1.0,1.5
"administración y legislación","pichincha",90.0,90.0,1440.0,16.0,2021.0,1.0,1.3333333333333333
"educación y capacitación","sin provincia",8.0,13.0,128.0,16.0,2021.0,3.0,2.0
"comunicación y artes gráficas","pichincha",1.0,3.0,32.0,32.0,2021.0,3.0,2.111111111111111
"comunicación y artes gráficas","pichincha",1.0,3.0,40.0,40.0,2021.0,3.0,2.111111111111111
"comunicación y artes gráficas","pichincha",1.0,3.0,40.0,40.0,2021.0,3.0,2.111111111111111
"finanzas comercio y ventas","guayas",123.0,173.0,984.0,8.0,2021.0,2.0,6.8
"construcción e infraestructura","pichincha",31.0,31.0,992.0,32.0,2021.0,1.0,1.0
"administración y legislación","guayas",17.0,55.0,680.0,40.0,2021.0,2.0,5.0
"procesos industriales","pichincha",40.0,62.0,320.0,8.0,2021.0,4.0,1.9285714285714286
"tecnologías de la información y comunicación","tungurahua",55.0,57.0,440.0,8.0,2021.0,2.0,1.9285714285714286
"tecnologías de la información y comunicación","tungurahua",2.0,57.0,48.0,24.0,2021.0,2.0,2.5
"alimentación gastronomía y turismo","pichincha",4.0,35.0,64.0,16.0,2021.0,4.0,2.6666666666666665
"alimentación gastronomía y turismo","pichincha",7.0,35.0,168.0,24.0,2021.0,4.0,2.6666666666666665
"servicios socioculturales y a la comunidad","pichincha",585.0,858.0,23400.0,40.0,2021.0,3.0,1.5
"procesos industriales","pichincha",499.0,5192.0,3992.0,8.0,2021.0,10.0,10.0
"procesos industriales","pichincha",148.0,5192.0,5920.0,40.0,2021.0,10.0,10.0
"administración y legislación","guayas",3.0,39.0,72.0,24.0,2021.0,5.0,2.0
"procesos industriales","guayas",4.0,39.0,64.0,16.0,2021.0,5.0,5.0
"procesos industriales","tungurahua",2.0,110.0,80.0,40.0,2021.0,3.0,3.0
"administración y legislación","tungurahua",3.0,110.0,120.0,40.0,2021.0,3.0,3.0
"procesos industriales","loja",2.0,2.0,32.0,16.0,2021.0,1.0,1.0
"finanzas comercio y ventas","pichincha",1.0,1.0,40.0,40.0,2021.0,1.0,1.0
"servicios socioculturales y a la comunidad","manabi",8.0,58.0,320.0,40.0,2021.0,2.0,2.5
"administración y legislación","pichincha",20.0,44.0,800.0,40.0,2021.0,2.0,2.5
"educación y capacitación","pichincha",398.0,785.0,12736.0,32.0,2021.0,2.0,3.6666666666666665
"finanzas comercio y ventas","sin provincia",112.0,255.0,4480.0,40.0,2021.0,3.0,3.0
"administración y legislación","tungurahua",1.0,1.0,16.0,16.0,2021.0,1.0,1.0
"educación y capacitación","pichincha",1.0,2.0,40.0,40.0,2021.0,2.0,2.0
"procesos industriales","manabi",3.0,11.0,120.0,40.0,2021.0,4.0,2.1818181818181817
"procesos industriales","manabi",3.0,11.0,120.0,40.0,2021.0,4.0,2.1818181818181817
"administración y legislación","manabi",70.0,140.0,2240.0,32.0,2021.0,2.0,2.142857142857143
"comunicación y artes gráficas","el oro",15.0,31.0,600.0,40.0,2021.0,2.0,2.3892195767195767
"comunicación y artes gráficas","el oro",16.0,31.0,640.0,40.0,2021.0,2.0,2.3892195767195767
"procesos industriales","pichincha",7.0,11.0,280.0,40.0,2021.0,2.0,2.1818181818181817
"educación y capacitación","azuay",8.0,61.0,320.0,40.0,2021.0,5.0,2.5
"forestal ecología y medio ambiente","azuay",6.0,61.0,240.0,40.0,2021.0,5.0,2.5
"procesos industriales","los rios",11.0,11.0,88.0,8.0,2021.0,1.0,1.0
"educación y capacitación","pichincha",107.0,107.0,1712.0,16.0,2022.0,1.0,1.0
