"area_familia","modalidad","canton","provincia","num_cap_cer","volumen_capacitados","total_horas","total_ganancias","%_asistencia","carga_horaria","costo","anio","total_cursos","prediction(total_cursos)"
"educación y capacitación","presencial","quito","pichincha",1.0,11.0,268.0,0.0,0.0,268.0,0.0,2021.0,9.0,9.0
"educación y capacitación","presencial","quito","pichincha",1.0,19.0,267.0,0.0,0.0,267.0,0.0,2018.0,7.0,9.0
"procesos industriales","presencial","quito","pichincha",35.0,1394.0,280.0,0.0,0.0,8.0,0.0,2021.0,12.0,12.0
"procesos industriales","presencial","quito","pichincha",267.0,1394.0,2136.0,0.0,0.0,8.0,0.0,2021.0,12.0,12.0
"procesos industriales","online","quito","pichincha",267.0,1394.0,2136.0,0.0,0.0,8.0,0.0,2021.0,12.0,12.0
"procesos industriales","presencial","quito","pichincha",4.0,1394.0,32.0,0.0,0.0,8.0,0.0,2021.0,12.0,12.0
"procesos industriales","presencial","quito","pichincha",3.0,247.0,24.0,0.0,0.0,8.0,0.0,2019.0,17.0,17.0
"procesos industriales","online","quito","pichincha",20.0,247.0,160.0,0.0,0.0,8.0,0.0,2019.0,17.0,17.0
"procesos industriales","presencial","quito","pichincha",17.0,247.0,272.0,0.0,0.0,16.0,0.0,2019.0,17.0,17.0
"procesos industriales","presencial","quito","pichincha",24.0,247.0,384.0,0.0,0.0,16.0,0.0,2019.0,17.0,17.0
"procesos industriales","online","quito","pichincha",29.0,247.0,232.0,0.0,0.0,8.0,0.0,2019.0,17.0,17.0
"procesos industriales","online","quito","pichincha",43.0,247.0,344.0,0.0,0.0,8.0,0.0,2019.0,17.0,17.0
"procesos industriales","presencial","quito","pichincha",31.0,247.0,248.0,0.0,0.0,8.0,0.0,2019.0,17.0,17.0
"procesos industriales","online","quito","pichincha",31.0,247.0,248.0,0.0,0.0,8.0,0.0,2019.0,17.0,17.0
"procesos industriales","online","quito","pichincha",2.0,247.0,32.0,0.0,0.0,16.0,0.0,2019.0,17.0,12.666666666666666
"educación y capacitación","online","ibarra","imbabura",22.0,245.0,880.0,0.0,0.0,40.0,0.0,2021.0,9.0,8.25
"alimentación gastronomía y turismo","presencial","ibarra","imbabura",114.0,245.0,4560.0,0.0,0.0,40.0,0.0,2021.0,9.0,8.25
"alimentación gastronomía y turismo","online","ibarra","imbabura",114.0,245.0,4560.0,0.0,0.0,40.0,0.0,2021.0,9.0,8.25
"educación y capacitación","presencial","ibarra","imbabura",16.0,60.0,640.0,0.0,0.0,40.0,0.0,2018.0,4.0,3.294270833333333
"educación y capacitación","online","ibarra","imbabura",16.0,60.0,640.0,0.0,0.0,40.0,0.0,2018.0,4.0,3.294270833333333
"administración y legislación","presencial","quito","pichincha",3.0,3.0,120.0,0.0,0.0,40.0,0.0,2020.0,1.0,3.0
"administración y legislación","presencial","quito","pichincha",59.0,75.0,2360.0,0.0,0.0,40.0,0.0,2022.0,3.0,2.0
"administración y legislación","presencial","quito","pichincha",10.0,75.0,400.0,0.0,0.0,40.0,0.0,2022.0,3.0,3.0
"servicios socioculturales y a la comunidad","presencial","quito","pichincha",5.0,5.0,200.0,0.0,0.0,40.0,0.0,2021.0,1.0,3.0
"alimentación gastronomía y turismo","presencial","quito","pichincha",213.0,1219.0,51120.0,0.0,0.0,240.0,0.0,2021.0,13.0,2.0
"alimentación gastronomía y turismo","presencial","quito","pichincha",33.0,1219.0,6600.0,0.0,0.0,200.0,0.0,2021.0,13.0,13.0
"alimentación gastronomía y turismo","presencial","quito","pichincha",44.0,1219.0,10560.0,0.0,0.0,240.0,0.0,2021.0,13.0,13.0
"educación y capacitación","semipresencial","guayaquil","guayas",723.0,1307.0,108450.0,0.0,0.0,150.0,0.0,2021.0,3.0,3.0
"artes y artesanía","presencial","quito","pichincha",4.0,24.0,160.0,0.0,0.0,40.0,0.0,2021.0,3.0,3.0
"educación y capacitación","online","santo domingo","santo domingo de los tsachilas",9.0,1119.0,360.0,0.0,0.0,40.0,0.0,2021.0,15.0,15.0
"procesos industriales","online","santo domingo","santo domingo de los tsachilas",202.0,1119.0,1616.0,0.0,0.0,8.0,0.0,2021.0,15.0,15.0
"procesos industriales","presencial","santo domingo","santo domingo de los tsachilas",3.0,1119.0,180.0,0.0,0.0,60.0,0.0,2021.0,15.0,15.0
"administración y legislación","presencial","santo domingo","santo domingo de los tsachilas",55.0,1119.0,440.0,0.0,0.0,8.0,0.0,2021.0,15.0,15.0
"tecnologías de la información y comunicación","presencial","quito","pichincha",28.0,1218.0,1120.0,16520.0,0.2333333333333333,40.0,590.0,2021.0,23.0,23.0
"tecnologías de la información y comunicación","presencial","quito","pichincha",16.0,1218.0,640.0,6188.8,0.1333333333333333,40.0,386.8,2021.0,23.0,23.0
"electricidad y electrónica","presencial","quito","pichincha",15.0,1218.0,600.0,0.0,0.125,40.0,0.0,2021.0,23.0,23.0
"educación y capacitación","presencial","quito","pichincha",95.0,1218.0,3800.0,0.0,0.7916666666666667,40.0,0.0,2021.0,23.0,23.0
"tecnologías de la información y comunicación","presencial","quito","pichincha",115.0,1218.0,4600.0,83352.00000000001,0.9583333333333331,40.0,724.8000000000001,2021.0,23.0,23.0
"tecnologías de la información y comunicación","presencial","quito","pichincha",1.0,1218.0,40.0,386.8,0.0083333333333333,40.0,386.8,2021.0,23.0,23.0
"educación y capacitación","presencial","quito","pichincha",4.0,1218.0,480.0,0.0,0.0333333333333333,120.0,0.0,2021.0,23.0,23.0
"tecnologías de la información y comunicación","presencial","quito","pichincha",15.0,1218.0,600.0,1998.0,0.125,40.0,133.2,2021.0,23.0,23.0
"tecnologías de la información y comunicación","presencial","quito","pichincha",12.0,127.0,480.0,4641.6,0.1,40.0,386.8,2019.0,14.0,5.0
"educación y capacitación","presencial","quito","pichincha",4.0,127.0,160.0,0.0,0.0333333333333333,40.0,0.0,2019.0,14.0,14.0
"tecnologías de la información y comunicación","presencial","quito","pichincha",3.0,127.0,120.0,1160.4,0.025,40.0,386.8,2019.0,14.0,14.0
"alimentación gastronomía y turismo","presencial","guayaquil","guayas",12.0,14.0,1728.0,0.0,0.0,144.0,0.0,2021.0,3.0,1.3333333333333333
"alimentación gastronomía y turismo","online","guayaquil","guayas",12.0,14.0,1728.0,0.0,0.0,144.0,0.0,2021.0,3.0,3.0
"alimentación gastronomía y turismo","presencial","guayaquil","guayas",14.0,21.0,2016.0,0.0,0.0,144.0,0.0,2019.0,3.0,2.3333333333333335
"tecnologías de la información y comunicación","presencial","guayaquil","guayas",51.0,69.0,1020.0,15045.0,0.0,20.0,295.0,2021.0,3.0,1.3333333333333333
"tecnologías de la información y comunicación","presencial","guayaquil","guayas",10.0,69.0,400.0,7500.0,0.0,40.0,750.0,2021.0,3.0,1.3333333333333333
"procesos industriales","presencial","quito","pichincha",13.0,282.0,520.0,0.0,0.0,40.0,0.0,2021.0,12.0,9.44186046511628
"procesos industriales","presencial","quito","pichincha",40.0,282.0,1600.0,0.0,0.0,40.0,0.0,2021.0,12.0,11.333333333333334
"procesos industriales","presencial","quito","pichincha",56.0,282.0,2240.0,0.0,0.0,40.0,0.0,2021.0,12.0,11.333333333333334
"procesos industriales","presencial","quito","pichincha",13.0,282.0,520.0,0.0,0.0,40.0,0.0,2021.0,12.0,9.44186046511628
"servicios socioculturales y a la comunidad","presencial","quito","pichincha",10.0,55.0,1000.0,0.0,0.0,100.0,0.0,2019.0,4.0,4.5
"alimentación gastronomía y turismo","presencial","daule","guayas",6.0,235.0,240.0,0.0,0.0,40.0,0.0,2021.0,4.0,5.0
"alimentación gastronomía y turismo","presencial","daule","guayas",60.0,235.0,18720.0,0.0,0.0,312.0,0.0,2021.0,4.0,4.0
"alimentación gastronomía y turismo","presencial","daule","guayas",44.0,54.0,13728.0,0.0,0.0,312.0,0.0,2019.0,2.0,1.3333333333333333
"tecnologías de la información y comunicación","presencial","quito","pichincha",2.0,2808.0,60.0,580.2,0.0071377587437544,30.0,290.1,2021.0,40.0,40.0
"comunicación y artes gráficas","presencial","quito","pichincha",42.0,2808.0,1260.0,0.0,0.1498929336188436,30.0,0.0,2021.0,40.0,40.0
"tecnologías de la información y comunicación","presencial","quito","pichincha",13.0,2808.0,390.0,2683.2000000000003,0.046395431834404,30.0,206.4,2021.0,40.0,40.0
"tecnologías de la información y comunicación","presencial","quito","pichincha",286.0,2808.0,8580.0,90090.0,1.020699500356888,30.0,315.0,2021.0,40.0,40.0
"tecnologías de la información y comunicación","presencial","quito","pichincha",21.0,2808.0,630.0,1417.5,0.0749464668094218,30.0,67.5,2021.0,40.0,40.0
"tecnologías de la información y comunicación","presencial","quito","pichincha",682.0,2808.0,20460.0,65642.49999318,2.4339757316202717,30.0,96.24999999,2021.0,40.0,40.0
"tecnologías de la información y comunicación","presencial","quito","pichincha",32.0,2808.0,960.0,10080.0,0.1142041399000713,30.0,315.0,2021.0,40.0,40.0
"comunicación y artes gráficas","presencial","quito","pichincha",255.0,2808.0,5100.0,0.0,0.9100642398286938,20.0,0.0,2021.0,40.0,40.0
"tecnologías de la información y comunicación","presencial","quito","pichincha",1.0,2808.0,30.0,182.7,0.0035688793718772,30.0,182.7,2021.0,40.0,21.083333333333332
"tecnologías de la información y comunicación","presencial","quito","pichincha",43.0,2808.0,1290.0,8604.3,0.1534618129907209,30.0,200.1,2021.0,40.0,40.0
"educación y capacitación","presencial","ibarra","imbabura",73.0,312.0,11096.0,0.0,0.0,152.0,0.0,2021.0,8.0,8.25
"educación y capacitación","presencial","ibarra","imbabura",19.0,312.0,3610.0,0.0,0.0,190.0,0.0,2021.0,8.0,8.25
"procesos industriales","presencial","guayaquil","guayas",5.0,104.0,80.0,0.0,0.0,16.0,0.0,2021.0,7.0,7.0
"procesos industriales","online","MISSING","cotopaxi",30.0,193.0,900.0,0.0,0.0,30.0,0.0,2021.0,5.0,4.627756358225107
"procesos industriales","online","MISSING","cotopaxi",113.0,193.0,2260.0,0.0,0.0,20.0,0.0,2021.0,5.0,4.627756358225107
"electricidad y electrónica","presencial","quito","pichincha",22.0,3266.0,1320.0,0.0,0.0,60.0,0.0,2021.0,38.0,38.0
"procesos industriales","presencial","quito","pichincha",19.0,3266.0,342.0,0.0,0.0,18.0,0.0,2021.0,38.0,38.0
"procesos industriales","online","quito","pichincha",19.0,3266.0,342.0,0.0,0.0,18.0,0.0,2021.0,38.0,38.0
"procesos industriales","presencial","quito","pichincha",2.0,3266.0,32.0,0.0,0.0,16.0,0.0,2021.0,38.0,38.0
"procesos industriales","presencial","quito","pichincha",17.0,3266.0,272.0,0.0,0.0,16.0,0.0,2021.0,38.0,38.0
"electricidad y electrónica","presencial","quito","pichincha",6.0,3266.0,120.0,0.0,0.0,20.0,0.0,2021.0,38.0,38.0
"electricidad y electrónica","presencial","quito","pichincha",22.0,3266.0,2200.0,0.0,0.0,100.0,0.0,2021.0,38.0,38.0
"electricidad y electrónica","online","quito","pichincha",22.0,3266.0,2200.0,0.0,0.0,100.0,0.0,2021.0,38.0,38.0
"electricidad y electrónica","presencial","quito","pichincha",3.0,3266.0,60.0,0.0,0.0,20.0,0.0,2021.0,38.0,38.0
"electricidad y electrónica","presencial","quito","pichincha",5.0,3266.0,600.0,0.0,0.0,120.0,0.0,2021.0,38.0,38.0
"electricidad y electrónica","presencial","quito","pichincha",5.0,3266.0,500.0,0.0,0.0,100.0,0.0,2021.0,38.0,38.0
"educación y capacitación","presencial","quito","pichincha",22.0,3266.0,880.0,0.0,0.0,40.0,0.0,2021.0,38.0,38.0
"educación y capacitación","online","quito","pichincha",22.0,3266.0,880.0,0.0,0.0,40.0,0.0,2021.0,38.0,38.0
"procesos industriales","presencial","quito","pichincha",15.0,3266.0,1500.0,0.0,0.0,100.0,0.0,2021.0,38.0,38.0
"procesos industriales","online","quito","pichincha",15.0,3266.0,1500.0,0.0,0.0,100.0,0.0,2021.0,38.0,38.0
"electricidad y electrónica","presencial","quito","pichincha",25.0,3266.0,1500.0,0.0,0.0,60.0,0.0,2021.0,38.0,38.0
"procesos industriales","presencial","quito","pichincha",248.0,3266.0,2480.0,0.0,0.0,10.0,0.0,2021.0,38.0,38.0
"procesos industriales","online","quito","pichincha",248.0,3266.0,4464.0,0.0,0.0,18.0,0.0,2021.0,38.0,38.0
"procesos industriales","online","quito","pichincha",248.0,3266.0,2480.0,0.0,0.0,10.0,0.0,2021.0,38.0,38.0
"electricidad y electrónica","online","quito","pichincha",6.0,3266.0,96.0,0.0,0.0,16.0,0.0,2021.0,38.0,38.0
"procesos industriales","presencial","quito","pichincha",14.0,3266.0,140.0,0.0,0.0,10.0,0.0,2021.0,38.0,38.0
"procesos industriales","presencial","quito","pichincha",194.0,3266.0,4656.0,0.0,0.0,24.0,0.0,2021.0,38.0,38.0
"procesos industriales","online","quito","pichincha",194.0,3266.0,4656.0,0.0,0.0,24.0,0.0,2021.0,38.0,38.0
"procesos industriales","online","quito","pichincha",194.0,3266.0,1940.0,0.0,0.0,10.0,0.0,2021.0,38.0,38.0
"procesos industriales","online","quito","pichincha",194.0,3266.0,7760.0,0.0,0.0,40.0,0.0,2021.0,38.0,38.0
"procesos industriales","presencial","quito","pichincha",194.0,3266.0,3880.0,0.0,0.0,20.0,0.0,2021.0,38.0,38.0
"procesos industriales","semipresencial","quito","pichincha",194.0,3266.0,4656.0,0.0,0.0,24.0,0.0,2021.0,38.0,38.0
"procesos industriales","presencial","quito","pichincha",143.0,3266.0,5148.0,0.0,0.0,36.0,0.0,2021.0,38.0,38.0
"procesos industriales","online","quito","pichincha",143.0,3266.0,5148.0,0.0,0.0,36.0,0.0,2021.0,38.0,38.0
"procesos industriales","online","quito","pichincha",143.0,3266.0,5720.0,0.0,0.0,40.0,0.0,2021.0,38.0,38.0
"procesos industriales","presencial","quito","pichincha",732.0,3266.0,21960.0,0.0,0.0,30.0,0.0,2021.0,38.0,38.0
"procesos industriales","presencial","quito","pichincha",732.0,3266.0,11712.0,0.0,0.0,16.0,0.0,2021.0,38.0,38.0
"procesos industriales","presencial","quito","pichincha",732.0,3266.0,8784.0,0.0,0.0,12.0,0.0,2021.0,38.0,38.0
"procesos industriales","online","quito","pichincha",732.0,3266.0,29280.0,0.0,0.0,40.0,0.0,2021.0,38.0,38.0
"procesos industriales","online","quito","pichincha",732.0,3266.0,8784.0,0.0,0.0,12.0,0.0,2021.0,38.0,38.0
"procesos industriales","online","quito","pichincha",732.0,3266.0,11712.0,0.0,0.0,16.0,0.0,2021.0,38.0,38.0
"procesos industriales","presencial","quito","pichincha",128.0,3266.0,1280.0,0.0,0.0,10.0,0.0,2021.0,38.0,38.0
"procesos industriales","online","quito","pichincha",691.0,3266.0,13820.0,0.0,0.0,20.0,0.0,2021.0,38.0,38.0
"procesos industriales","online","quito","pichincha",691.0,3266.0,6910.0,0.0,0.0,10.0,0.0,2021.0,38.0,38.0
"procesos industriales","presencial","quito","pichincha",691.0,3266.0,16584.0,0.0,0.0,24.0,0.0,2021.0,38.0,38.0
"procesos industriales","presencial","quito","pichincha",15.0,3266.0,240.0,0.0,0.0,16.0,0.0,2021.0,38.0,38.0
"procesos industriales","presencial","quito","pichincha",12.0,3266.0,120.0,0.0,0.0,10.0,0.0,2021.0,38.0,38.0
"mecánica industrial y minería","online","quito","pichincha",85.0,3266.0,1360.0,0.0,0.0,16.0,0.0,2021.0,38.0,38.0
"procesos industriales","online","quito","pichincha",103.0,3266.0,2060.0,0.0,0.0,20.0,0.0,2021.0,38.0,38.0
"procesos industriales","presencial","quito","pichincha",103.0,3266.0,2472.0,0.0,0.0,24.0,0.0,2021.0,38.0,38.0
"procesos industriales","online","quito","pichincha",103.0,3266.0,2472.0,0.0,0.0,24.0,0.0,2021.0,38.0,38.0
"procesos industriales","semipresencial","quito","pichincha",103.0,3266.0,2472.0,0.0,0.0,24.0,0.0,2021.0,38.0,38.0
"procesos industriales","presencial","quito","pichincha",3.0,9.0,48.0,0.0,0.0,16.0,0.0,2021.0,4.0,3.0
"procesos industriales","presencial","quito","pichincha",3.0,9.0,24.0,0.0,0.0,8.0,0.0,2021.0,4.0,3.0
"administración y legislación","online","quito","pichincha",1337.0,1337.0,85568.0,0.0,0.0,64.0,0.0,2021.0,1.0,2.0
"transporte y logística","presencial","latacunga","cotopaxi",26.0,2045.0,520.0,0.0,0.0,20.0,0.0,2021.0,12.0,22.0
"construcción e infraestructura","presencial","latacunga","cotopaxi",13.0,2045.0,520.0,0.0,0.0,40.0,0.0,2021.0,12.0,22.0
"educación y capacitación","online","quito","pichincha",204.0,2885.0,4284.0,0.0,0.0,21.0,0.0,2021.0,30.0,30.0
"educación y capacitación","online","quito","pichincha",219.0,2885.0,4599.0,0.0,0.0,21.0,0.0,2021.0,30.0,30.0
"educación y capacitación","online","quito","pichincha",32.0,2885.0,672.0,0.0,0.0,21.0,0.0,2021.0,30.0,30.0
"educación y capacitación","online","quito","pichincha",387.0,2885.0,10836.0,0.0,0.0,28.0,0.0,2021.0,30.0,30.0
"educación y capacitación","online","quito","pichincha",160.0,2885.0,4480.0,0.0,0.0,28.0,0.0,2021.0,30.0,30.0
"educación y capacitación","online","quito","pichincha",24.0,2885.0,672.0,0.0,0.0,28.0,0.0,2021.0,30.0,30.0
"educación y capacitación","online","quito","pichincha",77.0,2885.0,1617.0,0.0,0.0,21.0,0.0,2021.0,30.0,30.0
"educación y capacitación","online","quito","pichincha",31.0,692.0,651.0,0.0,0.0,21.0,0.0,2019.0,20.0,20.0
"administración y legislación","online","quito","pichincha",11.0,18.0,440.0,0.0,0.0,40.0,0.0,2021.0,3.0,3.0
"administración y legislación","presencial","quito","pichincha",40.0,305.0,1600.0,0.0,0.0,40.0,0.0,2021.0,10.0,11.333333333333334
"educación y capacitación","presencial","guayaquil","guayas",54.0,110.0,4320.0,0.0,0.0,80.0,0.0,2021.0,4.0,4.0
"procesos industriales","online","quito","pichincha",202.0,3031.0,4848.0,0.0,0.0,24.0,0.0,2021.0,17.0,16.333333333333332
"procesos industriales","presencial","quito","pichincha",355.0,3031.0,8520.0,0.0,0.0,24.0,0.0,2021.0,17.0,16.333333333333332
"procesos industriales","online","quito","pichincha",355.0,3031.0,8520.0,0.0,0.0,24.0,0.0,2021.0,17.0,16.333333333333332
"procesos industriales","semipresencial","quito","pichincha",355.0,3031.0,8520.0,0.0,0.0,24.0,0.0,2021.0,17.0,16.333333333333332
"procesos industriales","presencial","quito","pichincha",23.0,648.0,552.0,0.0,0.0,24.0,0.0,2019.0,13.0,13.0
"procesos industriales","online","quito","pichincha",23.0,648.0,552.0,0.0,0.0,24.0,0.0,2019.0,13.0,13.0
"industrias  manufactureras","desconocida","guayaquil","guayas",19.0,20.0,0.0,0.0,0.0,0.0,0.0,2021.0,2.0,2.5
"procesos industriales","presencial","quito","pichincha",57.0,236.0,570.0,0.0,0.0,10.0,0.0,2021.0,6.0,5.857142857142857
"procesos industriales","presencial","quito","pichincha",2.0,236.0,20.0,0.0,0.0,10.0,0.0,2021.0,6.0,5.0
"administración y legislación","online","latacunga","cotopaxi",216.0,3608.0,43200.0,0.0,0.0,200.0,0.0,2021.0,24.0,22.0
"administración y legislación","online","latacunga","cotopaxi",24.0,3608.0,960.0,0.0,0.0,40.0,0.0,2021.0,24.0,22.0
"finanzas comercio y ventas","online","latacunga","cotopaxi",409.0,3608.0,32720.0,0.0,0.0,80.0,0.0,2021.0,24.0,22.0
"educación y capacitación","presencial","latacunga","cotopaxi",86.0,3608.0,12900.0,0.0,0.0,150.0,0.0,2021.0,24.0,22.0
"administración y legislación","online","guayaquil","guayas",6.0,5039.0,144.0,0.0,0.0,24.0,0.0,2021.0,20.0,20.0
"procesos industriales","online","guayaquil","guayas",85.0,5039.0,850.0,0.0,0.0,10.0,0.0,2021.0,20.0,20.0
"transporte y logística","presencial","guayaquil","guayas",33.0,5039.0,1254.0,0.0,0.0,38.0,0.0,2021.0,20.0,20.0
"transporte y logística","online","guayaquil","guayas",3.0,5039.0,120.0,0.0,0.0,40.0,0.0,2021.0,20.0,20.0
"transporte y logística","presencial","guayaquil","guayas",8.0,5039.0,320.0,0.0,0.0,40.0,0.0,2021.0,20.0,20.0
"transporte y logística","presencial","guayaquil","guayas",80.0,5039.0,2080.0,0.0,0.0,26.0,0.0,2021.0,20.0,20.0
"administración y legislación","online","guayaquil","guayas",66.0,1389.0,792.0,0.0,0.0,12.0,0.0,2021.0,23.0,23.0
"administración y legislación","online","guayaquil","guayas",13.0,1389.0,156.0,0.0,0.0,12.0,0.0,2021.0,23.0,23.0
"administración y legislación","online","guayaquil","guayas",126.0,1389.0,1512.0,0.0,0.0,12.0,0.0,2021.0,23.0,23.0
"administración y legislación","online","guayaquil","guayas",10.0,1389.0,120.0,0.0,0.0,12.0,0.0,2021.0,23.0,23.0
"tecnologías de la información y comunicación","presencial","guayaquil","guayas",19.0,1389.0,228.0,731.499999924,0.0,12.0,38.499999996,2021.0,23.0,23.0
"tecnologías de la información y comunicación","presencial","guayaquil","guayas",37.0,1389.0,444.0,6549.0,0.0,12.0,177.0,2021.0,23.0,23.0
"administración y legislación","online","guayaquil","guayas",19.0,1389.0,228.0,0.0,0.0,12.0,0.0,2021.0,23.0,23.0
"administración y legislación","presencial","guayaquil","guayas",145.0,1389.0,1740.0,0.0,0.0,12.0,0.0,2021.0,23.0,23.0
"procesos industriales","presencial","guayaquil","guayas",38.0,1389.0,456.0,0.0,0.0,12.0,0.0,2021.0,23.0,23.0
"procesos industriales","online","guayaquil","guayas",38.0,1389.0,456.0,0.0,0.0,12.0,0.0,2021.0,23.0,23.0
"procesos industriales","online","guayaquil","guayas",20.0,1389.0,240.0,0.0,0.0,12.0,0.0,2021.0,23.0,23.0
"procesos industriales","online","guayaquil","guayas",14.0,1389.0,168.0,0.0,0.0,12.0,0.0,2021.0,23.0,23.0
"procesos industriales","presencial","guayaquil","guayas",26.0,1389.0,312.0,0.0,0.0,12.0,0.0,2021.0,23.0,23.0
"procesos industriales","online","guayaquil","guayas",26.0,1389.0,312.0,0.0,0.0,12.0,0.0,2021.0,23.0,23.0
"procesos industriales","online","guayaquil","guayas",32.0,1389.0,384.0,0.0,0.0,12.0,0.0,2021.0,23.0,23.0
"educación y capacitación","online","guayaquil","guayas",8.0,1389.0,96.0,0.0,0.0,12.0,0.0,2021.0,23.0,23.0
"educación y capacitación","presencial","guayaquil","guayas",8.0,1389.0,96.0,0.0,0.0,12.0,0.0,2021.0,23.0,23.0
"mecánica automotriz","presencial","cayambe","pichincha",31.0,178.0,6200.0,0.0,0.0,200.0,0.0,2021.0,10.0,4.166666666666667
"alimentación gastronomía y turismo","presencial","quito","pichincha",9.0,324.0,1080.0,0.0,0.0,120.0,0.0,2021.0,8.0,8.857142857142858
"electricidad y electrónica","presencial","quito","pichincha",17.0,324.0,2040.0,0.0,0.0,120.0,0.0,2021.0,8.0,8.857142857142858
"alimentación gastronomía y turismo","presencial","quito","pichincha",71.0,324.0,8520.0,0.0,0.0,120.0,0.0,2021.0,8.0,8.857142857142858
"alimentación gastronomía y turismo","presencial","quito","pichincha",28.0,202.0,3360.0,0.0,0.0,120.0,0.0,2018.0,12.0,11.666666666666666
"tecnologías de la información y comunicación","presencial","quito","pichincha",3.0,202.0,360.0,3481.2000000000003,0.0,120.0,1160.4,2018.0,12.0,5.0
"educación y capacitación","presencial","quito","pichincha",241.0,352.0,28920.0,0.0,0.0,120.0,0.0,2021.0,11.0,4.111111111111111
"procesos industriales","presencial","quito","pichincha",28.0,349.0,224.0,0.0,0.0,8.0,0.0,2021.0,6.0,9.44186046511628
"procesos industriales","presencial","quito","pichincha",128.0,349.0,1024.0,0.0,0.0,8.0,0.0,2021.0,6.0,7.0
"procesos industriales","presencial","quito","pichincha",59.0,349.0,472.0,0.0,0.0,8.0,0.0,2021.0,6.0,9.44186046511628
"procesos industriales","presencial","quito","pichincha",30.0,349.0,360.0,0.0,0.0,12.0,0.0,2021.0,6.0,9.44186046511628
"procesos industriales","presencial","quito","pichincha",48.0,149.0,384.0,0.0,0.0,8.0,0.0,2018.0,8.0,5.857142857142857
"procesos industriales","presencial","quito","pichincha",5.0,149.0,60.0,0.0,0.0,12.0,0.0,2018.0,8.0,9.0
"administración y legislación","presencial","quito","pichincha",5.0,9.0,120.0,0.0,0.0,24.0,0.0,2021.0,3.0,3.0
"procesos industriales","online","latacunga","cotopaxi",206.0,1256.0,2060.0,0.0,0.0,10.0,0.0,2021.0,15.0,15.0
"procesos industriales","presencial","latacunga","cotopaxi",243.0,1256.0,4860.0,0.0,0.0,20.0,0.0,2021.0,15.0,15.0
"procesos industriales","presencial","latacunga","cotopaxi",52.0,1256.0,780.0,0.0,0.0,15.0,0.0,2021.0,15.0,15.0
"procesos industriales","presencial","latacunga","cotopaxi",6.0,1256.0,60.0,0.0,0.0,10.0,0.0,2021.0,15.0,16.333333333333332
